year,month,julian,LogEC,Turb2,Turb3,Turb4,TempAir,WindSpeed,WindDir,Humidity,BaroPress,OregonUV,ToledoUV,RAIN48,RAIN24,LakeLEvel,SolarRad,Temp2,Temp3,Temp4,AM1,AM2,AM3,B1,B2,B3
2008,7,197,1.176091259,13.5,13.55,14.1,73,0,0,46,30.11,8,8,0,0,571.85,673.12,72.9,72.9,72.9,4,4,4,0,100,50
2008,7,198,2.255272505,13.35,12.85,14.15,81,5,0,62,30.18,8,8,0,0,571.8,697.8,72.5,72.3,72.5,4,4,4,70,0,200
2008,7,199,2.431363764,18.75,25.85,19.5,81,8,4.319689899,64,30.17,8,8,0,0,571.7,573.24,76.8,76.1,76.3,4,4,4,150,0,0
2008,7,203,2,15.5,16.15,21.55,77,8,4.319689899,71,29.93,6,6,0.15,0.06,572.1,495.32,76.3,76.8,76.5,4,4,4,0,0,0
2008,7,204,1.342422681,23.5,23.35,23.45,75.9,5,0,68,29.95,8,8,0.25,0.19,572.2,478.78,77.4,78.1,78.1,4,4,4,40,0,30
2008,7,205,1.770852012,59.7,57.7,55.05,73,12,0,53,30.02,7,7,0.19,0,571.98,449.25,74.1,75.7,75.7,4,4,4,0,0,100
2008,7,206,1.662757832,39.45,40.6,41.9,73,8,5.105088062,55.9,30.07,8,8,0,0,572.25,526.19,74.9,74.8,74.5,4,4,4,2,250,0
2008,7,210,1.72427587,22.15,16.7,16.65,73,6,2.35619449,61,29.9,7,7,0,0,571.4,631.27,75.9,74.7,75,4,4,4,1,150,13
2008,7,211,1.806179974,10.04,9.73,12.65,73,3,3.534291735,70,29.97,8,8,0,0,572,610.85,76.6,75.9,75.9,4,4,4,70,25,0
2008,7,212,2.146128036,12.5,13.3,14.2,77,12,3.926990817,71,29.8,4,4,0,0,571.6,580.61,78.6,77.6,77.4,4,4,4,60,0,130
2008,7,213,1.806179974,13.9,8.84,19.15,79,7,4.319689899,64,29.75,8,8,0,0,571.85,441.01,75.9,75.9,76.3,4,4,4,200,4,20
2008,8,217,1.361727836,8.43,9.53,10.7,75,8,3.534291735,55,30.04,4,4,0,0,571.7,638.69,75.2,74.6,74.3,4,4,4,30,200,2
2008,8,218,1.491361694,10.95,9.07,10.5,75,6,3.534291735,73,29.92,8,8,0.01,0.01,571.8,372.61,77.2,76.3,76.3,4,4,4,70,300,30
2008,8,219,2.113943352,21.75,19.5,18.7,78.1,0,0,64,30.02,8,8,0.01,0,571.79,350.71,75.4,75.7,75.6,4,4,4,250,150,0
2008,8,220,1.278753601,32.95,34.25,28.8,70,8,5.890486225,65,29.92,7,7,0,0,571.4,528.49,73.6,74.3,76.6,4,4,4,225,110,0
2008,8,224,1.230448921,66.15,72.65,71.05,64.9,8,5.890486225,72,30.02,7,7,0.02,0,571.5,524.87,69.4,68.9,69.3,4,4,4,0,0,5
2008,8,225,1.361727836,36.5,42.75,40.35,66.9,3,3.534291735,70,29.98,7,7,0,0,571.4,558.51,72.3,73.2,73.4,4,4,4,0,3,0
2008,8,226,2.041392685,24.8,25.6,23.85,71.1,5,3.926990817,65,29.82,6,6,0,0,571.65,538.93,73.2,73.9,74.3,4,4,4,75,325,100
2008,8,227,2.414973348,32.65,33.15,33.95,68,9,0.392699082,78,29.88,6,6,0,0,572,392.41,73.4,72.7,72,4,4,4,0,0,100
2008,8,231,1.568201724,30.75,30.35,14.85,70,7,3.926990817,61,29.99,7,7,0,0,571.2,547.97,72.5,73.2,74.5,4,4,4,200,0,100
2008,8,232,3.556302501,60.1,62.3,73.9,69.1,9,0.785398163,67,30.13,7,7,0.16,0.16,572.4,425.16,73.4,71.6,73.6,4,4,4,10,0,325
2008,8,233,2.72427587,25.65,26.3,23.15,70,10,1.570796327,52,30.23,7,7,0,0,572.23,413.12,61.9,71.2,72,3,2,2,0,0,0
2008,8,234,1.447158031,19.6,22.55,21.95,68,5,1.570796327,65,30.17,6,6,0,0,571.85,644,70,69.4,69.8,3,3,3,0,100,0
2008,8,238,2.397940009,81.2,75.7,79.55,68,10,0.785398163,65,30.09,7,7,0,0,571.45,448.5,72.1,72.4,71.8,3.5,4,4,50,0,150
2008,8,239,2.041392685,57.9,61,60.7,71,15,1.570796327,53,30.11,7,7,0,0,572.1,592.59,69.3,69.3,69.1,4,4,1,50,100,0
2008,8,240,2.991226076,113.5,101,104.5,71.1,5,1.570796327,65,29.99,7,7,0,0,571.62,619.57,69.3,69.1,69.1,4,4,4,100,0,100
2008,8,241,2,78.6,79.1,79.1,64,3,3.926990817,80,29.91,7,7,0,0,571.67,264.56,69.8,70.2,70.5,4,3.5,4,300,0,100
2009,5,139,0.903089987,39,40.95,42.8,57.9,13,3.534291735,42,30.38,8,8,0,0,571.9,738.5,61.1,61.2,61.8,4,4,4,0,1,0
2009,5,140,0.903089987,23.5,23.1,22.7,63,9,3.926990817,47,30.36,8,8,0,0,572.5,704.04,64.2,64.4,64,4,4,4,1,2,0
2009,5,141,0.602059991,12.2,10.25,8.59,68,10,4.319689899,46,30.23,8,8,0,0,572.3,725.14,65.1,65.4,65.8,4,4,4,0,1,0
2009,5,146,2.380211242,74.55,78.85,80.1,59,8,0.785398163,80,29.98,7,7,0,0,573.4,656.25,64.3,65.8,66,4,4,4,0,17,2
2009,5,147,1.568201724,48.75,53,46.5,71.1,8,3.534291735,86,29.79,9,9,0.08,0.08,572.4,364.53,66.2,66.2,66.2,4,4,4,0,10,3
2009,5,148,0.84509804,19.8,22.75,19.05,68,9,4.319689899,89,29.72,4,4,1.22,1.14,571,343.29,66.2,66.2,66.2,4,4,4,2,2,7
2009,6,152,1.633468456,28.25,24.05,27.55,57,7,3.534291735,57,30.01,6,6,0.01,0,572,743.8,65.1,64.5,68.1,4,4,4,0,0,0
2009,6,153,2.556302501,99.65,101.5,108.5,53.1,6,1.178097245,89,30.1,8,8,0.59,0.59,572.48,353.88,65.55,65.25,67.05,1,1,1,4,3,5
2009,6,154,2.230448921,36.65,37.9,38.55,57,7,0.785398163,77,30.13,8,8,0.58,0,572.55,312.65,66,66,66,4,4,4,1,1,0
2009,6,155,2.301029996,35.5,34.5,41.75,55.9,9,0.785398163,54,30.1,8,8,0,0,572.8,180.58,66.2,66.4,66.7,4,4,4,0,0,0
2009,6,159,2.477121255,19.8,21.95,22.3,62,0,0,93,29.96,9,9,0.02,0.02,571.9,514.87,66.6,66.6,66.4,4,4,4,1,0,5
2009,6,160,1.662757832,39.4,31.95,29.25,64,9,5.105088062,77,29.92,8,8,0.04,0.04,571.95,374.01,67.3,67.2,67.1,1,1,4,110,0,55
2009,6,161,1.176091259,17.75,14.3,15.85,64.9,0,0,75,29.95,1,1,0.04,0,572.59,608.65,70.3,70.8,70.8,1,1,4,0,12,1
2009,6,162,1.447158031,18.35,21.65,21.55,63,5,1.178097245,90,29.82,5,5,0.01,0.01,572.79,191.55,68.7,68.5,68.4,1,1,1,50,2,0
2009,6,166,1.806179974,12.45,13.95,15.6,69.1,6,1.570796327,67,30.06,8,8,0,0,572.19,629.15,69.2,69.3,69.4,1,1,1,90,10,0
2009,6,167,1.643452676,12,15.85,12.35,64,3,1.178097245,74,30.07,8,8,0,0,572.5,679.82,70,70.1,70.1,1,1,1,2,0,0
2009,6,168,2.322219295,20.15,22.95,24.05,69,6,1.963495408,88,29.84,6,6,0,0,572.57,466.86,70.8,70.7,70.4,1,1,1,200,0,0
2009,6,169,1.146128036,39.4,35.9,41.3,66,7,5.890486225,77,29.92,4,4,0,0,572.22,381.59,70.9,70.8,71,1,1,1,210,0,0
2009,6,173,2.079181246,17.3,17.7,18.25,73,7,0.785398163,73,29.88,9,9,0.01,0,572.41,689.74,76.3,76.3,76.3,1,1,1,1,1,2
2009,6,174,1.857332496,10.34,10.4,12.65,75.9,0,0,66,29.94,9,9,0,0,572.61,660.77,77.7,77.7,78,4,1,4,300,300,10
2009,6,175,1.255272505,10.75,10.55,8.77,77,5,3.926990817,71,29.94,10,10,0,0,572.58,695.06,77.3,77.6,77.7,3,1,1,25,23,250
2009,6,176,1.944482672,28.35,32.15,30.45,82,5,5.890486225,64,29.86,10,10,0,0,572.42,634.65,79.9,80.2,80.3,1,1,1,80,20,45
2009,6,180,1.968482949,30.25,33.2,31,70,12,4.71238898,59,29.58,5,5,0,0,571.96,612.92,75.5,75.8,76.1,4,4,4,70,50,20
2009,6,181,2.079181246,30.85,30.2,31.9,64.9,16,4.71238898,72,29.55,2,2,0,0,571.76,492.45,71.5,71.7,71.2,4,4,4,0,40,15
2009,7,182,2.462397998,29.05,31.2,30.35,63,7,5.105088062,75,29.72,2,2,0.01,0.01,572.08,337.32,70.4,70.6,70.2,1,1,4,3,0,22
2009,7,183,1.819543936,27,30.85,32.8,60.1,13,5.105088062,83,29.87,6,6,0.06,0.06,572.17,355.1,70.3,69.8,70.3,1,1,4,50,45,45
2009,7,187,1.544068044,23.95,24,23.65,70,10,5.105088062,63,29.89,9,9,0,0,572.4,536.87,72.8,73,72.8,4,4,4,0,0,0
2009,7,188,2.301029996,68.85,69.2,69.65,66,8,0,58,29.87,9,9,0,0,572.25,668.61,71.7,71.6,71.6,4,4,4,0,75,0
2009,7,189,2.397940009,60,61.6,74.45,66,8.1,0,68,29.99,7,7,0,0,572.36,697.87,72,72.1,71.6,4,4,4,25,30,45
2009,7,190,1.146128036,28.2,29.8,24.65,68,8,1.570796327,63,30.15,8,8,0,0,572.65,662.76,73.3,73.6,73.6,4,4,4,1,150,10
2009,7,194,1.342422681,32.5,27.95,21.1,64.9,0,0,54,30.08,8,8,0.8,0,572.86,692.93,72,72.3,73,4,4,4,4,0,60
2009,7,195,1.929418926,114.5,97.8,95.3,68,0,0,48,30.2,9,9,0,0,571.98,713.22,71.8,72.3,72.6,3,3,3,2,7,65
2009,7,196,1.462397998,39.85,61.45,81.3,71,7,3.141592654,56,30.07,6,6,0,0,571.88,652.19,72.6,71.8,72.3,3,3,3,8,6,7
2009,7,197,1.301029996,29.3,26.55,15.1,73.9,8,4.319689899,68,29.9,8,8,0,0,571.94,516.55,73.3,73.2,73.7,2.5,3,3,4,2,85
2009,7,201,1.612783857,36.55,43.95,35.45,64.9,5,3.141592654,75,30.17,8,8,0,0,572.42,527.39,73.3,73.4,73.3,3.5,3.5,3.5,30,20,15
2009,7,202,2,43.4,36.6,57.4,70,5,1.570796327,70,30.12,8,8,0,0,572.27,654.45,74,74.1,73.9,3,3,3,25,2,0
2009,7,203,2.342422681,48.85,47.35,60.6,66,6,4.71238898,87,30.06,1,1,0.16,0.16,572.26,612.15,73.7,73.4,73.7,4,4,4,0,150,40
2009,7,204,2.591064607,73.75,66.75,78.75,64,4.6,5.497787144,96,29.88,2,2,0.47,0.31,572.43,125.19,71.5,71.3,71.4,3,3,3,50,150,15
2009,7,208,1.785329835,41.65,46.85,52.1,66,6,3.926990817,81,29.96,7,7,0.21,0,571.91,574.76,73.2,73,72.7,1,1,1,30,200,35
2009,7,209,1.812913357,35.75,27.6,29.8,71.1,9,3.926990817,81,29.89,7,7,0,0,571.89,533.26,73.5,73.2,73.2,1,1,1,3,100,20
2009,7,210,1.431363764,28.45,19.7,24.05,70,5,5.105088062,87,29.79,4,4,0.57,0.57,572.22,404.36,73.9,73.4,74,1,1,1,0,2,37
2009,7,211,1.255272505,46.6,40.3,58.35,64.9,3,5.105088062,75,29.93,8,8,0.57,0,571.99,293.34,74,74.6,74.2,4,4,4,0,100,5
2009,8,215,1.633468456,50,60.8,64.25,69.1,14,3.534291735,62,30.02,8,8,0.09,0,571.75,577.46,73.4,73.7,72.4,2,2,2,5,120,6
2009,8,216,1.146128036,97.5,73.85,53.15,71.1,8,3.926990817,81,29.88,8,8,0,0,572.21,572.51,73.2,73,72.9,2,2,2,20,100,0
2009,8,217,3.113943352,150.5,156.5,165,70,6,1.178097245,59,30.07,8,8,0,0,572.67,408.57,72.9,72.8,72.5,1,1,1,300,0,2
2009,8,218,2.204119983,133.5,157.5,169,66,5,5.890486225,58,30.09,8,8,0,0,572.01,649.66,72,71.8,71.7,4,4,4,120,15,80
2009,8,222,1.544068044,83.75,58.7,56.25,80.1,16,3.926990817,79,29.96,8,8,0.21,0,572.42,598.98,77.8,77.5,77.5,2,2,2,100,3,55
2009,8,223,1.672097858,57.3,51.9,64.6,73,3,3.926990817,81,29.97,6,6,0,0,571.84,593,78.3,78.8,78.1,1,1,4,100,20,70
2009,8,224,2.716003344,84.15,88.55,93.65,70,8,0.392699082,78,30.09,6,6,0,0,572.12,417.4,76,75.7,75.6,4,4,4,121,5,10
2009,8,225,1.431363764,51.5,54.1,58.3,70,0,0,81,30.17,6,6,0,0,572.22,586.43,77.3,77.2,77.2,4,4,4,0,0,20
2009,8,229,1.544068044,86.9,95.95,87.5,76,10.4,3.926990817,79,30.13,6,6,0.02,0.02,571.83,522.4,76.4,76.4,77.1,3,3,3,150,0,50
2009,8,230,1.342422681,63.65,60.25,69.9,72,9.2,4.71238898,94,30.02,6,6,1.03,1.01,572.14,333.67,76,76.1,75.9,2,2,2,150,5,100
2009,8,231,1.86923172,76.7,68.45,56.95,71,0,0,81,30.02,8,8,1.01,0,572.28,477.92,76.8,76.3,76.4,4,4,4,200,0,0
2009,8,232,1.903089987,63.15,67.55,71.8,74,17.3,3.141592654,85,29.78,1,1,0,0,571.33,477.92,77.3,76.5,76.6,3,3,3,200,80,150
2009,8,236,1.397940009,117.5,95.5,114.1,64,0,0,87,30.18,7,7,0.03,0,572.3,299.1,72,72,72,4,4,4,125,100,75
2009,8,237,1.322219295,43.8,68,47.8,65,0,0,84,30.2,8,8,0,0,571.95,465.63,73.2,72.5,73,4,4,4,100,0,25
2009,8,238,0.903089987,33,50.2,38,63,3.5,3.926990817,93,30.09,4,4,0,0,571.39,549.1,71.9,72.3,71.8,4,4,4,350,0,25
2009,8,239,2.079181246,100.35,104,84.95,60,4.6,5.497787144,93,30.17,6,6,0.21,0.21,572.63,406.74,69.9,70.1,68.9,4,4,4,350,2,35
2009,8,243,1.361727836,49.2,63.2,39.75,56,3.5,5.497787144,87,30.27,6,6,0,0,571.74,401.95,67.4,67.2,67.2,4,4,4,100,0,0
2009,9,244,1.079181246,36.45,40.85,30.5,56,0,0,81,30.35,6,6,0,0,572.3,347.51,66.9,66.7,66.5,4,4,4,100,0,0
2009,9,245,1.079181246,40.8,30.75,72.5,60,0,0,78,30.22,6,6,0.02,0.02,572.4,572.47,67.4,67.5,67.8,4,4,4,150,0,1
2009,9,246,2.908485019,52.85,56.5,61.1,54,0,0,97,30.2,7,7,0.02,0,572.03,577.03,69.5,69.6,69.5,4,4,4,200,0,0
2010,5,151,0.930949031,26,27,27,81,9.2,3.926990817,67,29.92,8,8,0,0,571.64,710.07,75.2,75.4,75.6,1,1,1,50,13,20
2010,6,152,1.267171728,54,64,68,68,8.1,4.71238898,87,29.95,8,8,1.93,1.93,571.41,363.82,72.3,72.2,72.4,1,1,1,100,0,0
2010,6,153,1.793441133,23,21,26,72,16,3.926990817,82,29.78,5,5,1.93,0,571.51,603.96,75.4,75.7,75.8,1,1,1,0,0,0
2010,6,154,2.515688435,30,27,29,69,5.8,3.926990817,87,29.77,7,7,0.23,0.23,572.2,271.67,74.3,74.3,74.2,1,1,1,150,0,2
2010,6,158,3.079770762,140,142,130,67,6,0,33,30.02,8,8,0,0,572.3,412.37,69,68.8,69.3,1,1,1,0,3,0
2010,6,159,1.925208921,34,39,49,67,6,0.785398163,54,30.15,2,2,0,0,572.25,632.63,74,73.9,73.9,1,1,1,100,200,0
2010,6,160,1.917085191,39,39,38,68,9.2,3.926990817,93,29.79,5,5,0.27,0.27,571.69,445.49,70.2,69.6,70.8,1,1,1,0,20,0
2010,6,161,1.720820582,46,46,42,72,6.9,4.71238898,57,29.95,9,9,0.27,0,572.27,397.89,71.2,71.4,71.2,1,1,1,50,0,0
2010,6,165,1.537819095,38,31,30,72,0,0,82,29.94,4,4,0.06,0.06,572.07,502.55,77.3,77.6,77.8,1,1,1,175,10,0
2010,6,166,2.390016115,75,75,74,72,13.8,1.570796327,82,30.02,7,7,0.07,0.01,573.21,388.51,76,75.9,75.6,1,1,1,2,0,0
2010,6,167,1.835373452,95,101,76,76,18.4,4.71238898,69,29.94,9,9,0.04,0.03,573.2,289.11,75.7,75.7,75.2,1,1,1,0,0,0
2010,6,168,2.233123079,81,77,84,68,5.8,0,70,30.13,9,9,0.03,0,571.96,651.27,74.1,74.2,74.1,1,1,1,1,0,0
2010,6,172,1.471585054,54,46,38,75,6.9,1.570796327,64,30.12,8,8,0,0,571.92,695.1,79.7,79.5,79.6,1,1,1,2,0,0
2010,6,173,1.288472801,43,54,72,74,16.1,3.926990817,76,29.99,9,9,0.59,0.59,571.61,502.71,78,77.8,77.8,1,1,1,0,4,25
2010,6,174,0.978636948,28,29,29,73,4.6,3.141592654,90,30.06,8,8,0.59,0,571.39,636.66,79.2,79.4,78.8,1,1,1,0,70,20
2010,6,175,1.549983611,90,97,109,75,17.3,4.71238898,82,29.9,5,5,0.4,0.4,571.33,366.33,77.5,77.4,76.9,1,1,1,0,0,0
2010,6,179,2.13940677,30,33,32,76,9,3.926990817,73,29.64,7,7,0.17,0.17,572,428.3,77.5,77.8,78.1,1,1,1,0,0,0
2010,6,180,2.23299611,150,153,155,63,6.9,0,54,30.04,8,8,0.17,0,571.5,565.04,73.2,72.6,74,3,3,3,40,40,0
2010,6,181,1.593286067,181,180,177,63,5.8,0,54,30.25,8,8,0,0,572,597.21,70.5,69.7,69.9,1,1,1,0,0,0
2010,7,182,1.249605954,122,116,130,67,8.1,0,53,30.36,8,8,0,0,571.61,741.55,71.4,71.5,71.6,2,3,2,0,0,0
2010,7,187,2.175270149,37,30,31,80,6.9,3.926990817,67,30.1,9,9,0,0,571.78,662.81,79.8,79.9,79.7,1,1,1,70,43,0
2010,7,188,1.348953548,23,15,17,81,5.8,4.71238898,65,30.14,9,9,0,0,571.6,690.46,80.1,80.5,81.1,1,2,2,25,60,50
2010,7,189,1.3232521,15,20,20,86,5.8,3.926990817,57,30.04,5,5,0,0,571.69,652.89,83.5,83.6,84.4,2,2,2,100,20,30
2010,7,193,1.173671785,12,13,15,77,11.5,3.141592654,69,29.74,4,4,0.15,0.15,571.7,640.13,79.7,79.6,80,2,2,2,130,130,0
2010,7,194,0.926856709,19,31,15,79,0,0,74,29.87,7,7,0.15,0,572.15,607.62,82.5,81.8,81.8,2,2,2,250,0,0
2010,7,195,1.50242712,26,35,34,76,4.6,0.785398163,77,30.07,9,9,0.1,0.1,571.65,270.7,78.6,78.3,78.7,2,2,2,0,40,100
2010,7,196,1.781994589,14,11,25,81,9.2,3.926990817,74,30.03,10,10,0.1,0,571.57,643.66,79.6,79.1,80.2,1,1,1,0,0,120
2010,7,200,1.434568904,56,77,49,77,15,5.497787144,77,29.88,8,8,0.08,0.07,571.52,552.41,79.1,79.1,79.1,1,1,1,0,200,0
2010,7,201,3.093328278,104,82,95,74,5.8,3.141592654,82,29.96,9,9,0.07,0,572.05,500.3,79,78.9,78.5,1,1,1,200,0,2
2010,7,202,1.661812686,19,26,19,78,5.8,4.71238898,76,30,8,8,0,0,571.64,389.42,80,79.7,80.2,1,1,1,0,0,200
2010,7,203,0.718778398,21,20,18,75,0,0,71,30.1,7,7,0,0,571.44,635.74,82,82,82.2,1,1,1,1,0,100
2010,7,207,1.240549248,26,23,27,71,6.9,4.71238898,79,30.19,8,8,0.22,0.01,572.06,380.75,80.5,80.2,80,1,1,1,80,0,0
2010,7,208,1.814802321,23,23,29,71,0,0,71,30.13,9,9,0.01,0,572.16,595.19,80.7,80.1,80.3,1,1,1,7,0,25
2010,7,209,1.527844632,24,32,41,77,10,3.926990817,71,29.99,9,9,0,0,571.24,619.88,80.6,80.4,81,2,2,2,200,15,45
2010,7,210,3.391141024,246,214,252,73,7,0,69,30.1,8,8,0.7,0.7,572.36,509.05,77.6,77.5,77.3,1,1,1,55,60,0
2010,8,214,1.36517588,70,72,56,73,0,0,79,30.04,8,8,0,0,571.65,635.59,79.1,79.3,79.3,1,1,1,20,60,80
2010,8,215,1.3232521,61,57,57,77,11.5,3.926990817,82,30.02,9,9,0,0,571.49,621.89,80,80,80,4,4,4,40,0,80
2010,8,216,2.348304863,63,76,69,78,3.5,4.71238898,87,29.9,9,9,0,0,571.34,209.64,79.9,79.9,79.7,1,1,1,0,0,150
2010,8,217,2.199114962,82,74,20,74,6.9,4.71238898,88,29.81,8,8,0.03,0.03,571.38,375.76,79.5,80,80.3,1,1,1,0,0,250
2010,8,221,1.621176282,84,98,105,74,5.8,3.926990817,74,29.99,7,7,0,0,571.38,533.17,76.1,75.2,75.5,1,1,1,2,0,100
2010,8,222,2.043951418,57,74,84,76,0,0,94,30,8,8,0.11,0.11,571.45,486.14,78.6,78.3,78.3,1,1,1,200,100,0
2010,8,223,1.892928982,190,123,122,76,4.6,1.570796327,85,29.95,7,7,0.11,0,571.94,463.76,80.3,80.3,80.2,1,1,1,20,50,50
2010,8,224,2.55794809,181,207,195,76,8.1,5.497787144,85,29.84,8,8,2.16,2.16,571.27,315.37,77.6,77.9,78,1,1,1,0,0,100
2010,8,228,2.821808198,162,272,286,70,7,4.71238898,60,30.02,7,7,0.2,0.2,570.6,537,76.8,78.2,77.9,1,1,1,0,400,10
2010,8,229,1.347655208,167,215,209,68,8.1,3.926990817,73,30.08,8,8,0.2,0,570.95,651.39,74,73.6,73.9,1,1,1,0,0,0
2010,8,230,1.73785498,243,212,197,69,0,0,73.5,30.1,0,0,0,0,571.49,494.16,72.8,72.9,73,1,1,1,0,0,200
2010,8,231,2.359139548,127,135,168,70,0,0,74,30,7,7,0,0,571.27,529.33,75.4,76.2,76.5,4,4,4,0,0,0
2010,8,235,2.680547018,360,357,329,70,8.1,0,82,30.8,3,3,0.74,0,571.13,328.86,73.9,73.6,73.7,1,1,1,0,100,0
2010,8,236,2.675747799,259,267,276,69,7,0.785398163,84.5,30.06,7,7,0,0.15,571.58,295.21,72.8,72.7,72.5,1,1,1,0,0,0
2010,8,237,1.822386044,111,129,121,70,6.9,4.71238898,87,30,7,7,0.15,0,571.4,386.66,73.4,73.2,73.1,4,1,4,0,7,0
2010,8,238,2.424636665,393,415,383,65,5.8,0,61,30.2,7,7,0,0,571.62,447.68,73.5,73.55,73.55,4,4,4,0,300,0
2010,8,242,1.800373355,76,85,82,78,8.1,3.926990817,69,30.3,7,7,0,0,571.19,520.57,73.6,73.9,74,1,1,1,0,0,300
2010,8,243,1.777789187,61,62,70,75,3.5,3.926990817,79,30.22,7,7,0,0,571.19,498.02,74.5,74.5,74.9,1,1,1,0,0,50
2010,9,244,2.011640917,84,87,73,75,8.1,3.141592654,66,30.04,7,7,0,0,570.93,518.06,73.6,74.2,73.9,1,1,1,300,0,0
2010,9,245,1.564073979,82,77,66,74,6.9,3.141592654,91,29.98,6,6,0.15,0.15,571.02,530.56,76.6,75.9,76,1,1,1,0,400,200
