year,julian,logec,NTU,Rain_24,Rain_48,Total_X100,MGD,AVG_WATER_TEMP,WAVE_HEIGHT,AVG_AIR_TEMP,WIND_SPEED,LAKELEVEL_MLWK,X3qtr
2007,199,1.469822016,2.1,0,0.02,89,0,58.35,0,68.45,0,176.102,1
2007,200,1.204119983,2.1,0.63,0.63,6178,0.1,61.85,0,66.95,0,176.09,1
2007,201,3.019614716,6.5,0,0.63,259,0,61.85,2.5,59.5,0,176.132,1
2007,202,1.644438589,3.2,0,0,22,0,63.4,1,54,0,176.105,1
2007,203,1.170261715,3.9,0,0,5,0,69.4,0.5,70.05,7,176.102,1
2007,204,1.204119983,3.2,0,0,30,0,64.1,0,64.7,0,176.096,1
2007,205,0.986771734,1.2,0,0,15,0,63.55,0,69.45,0,176.08,1
2007,206,1.204119983,1.8,0,0,14,0,63,0,71.25,3,176.068,1
2007,207,2.021189299,3.5,0.11,0.11,1939,0.02,59.2,3,68.25,0,176.076,1
2007,208,3.238773502,56.5,2.61,2.72,205739,11.32,57.8,1.5,69.75,0,176.068,1
2007,209,3.185570484,15.1,0,2.61,44560,2.14,64.2,2,65.1,1,176.085,1
2007,210,2.29136885,1.7,0,0,13584,0.93,67.3,0,64.95,0,176.085,1
2007,211,1.42975228,1.2,0,0,7871,0.72,66.25,0,68.7,0,176.074,1
2007,212,1.08278537,0.9,0,0,5693,0.61,67.4,0,71.65,0,176.052,1
2007,213,1.36361198,0.6,0,0,4304,0.22,68.4,0,73.55,0,176.054,1
2007,214,1.367355921,1.6,0,0,1398,0.08,67.3,0,73.8,0,176.018,1
2007,215,0.799340549,0.7,0,0,694,0.06,64,0,66.4,0,176.049,1
2007,216,1.238046103,0.9,0,0,384,0.03,64.65,0,63.1,0,176.019,1
2007,217,2.331022171,4.6,0.21,0.21,1325,0.25,65.45,2.5,66.45,4,176.097,1
2007,218,1.418301291,2.7,0.01,0.22,658,0.01,65.2,0,68.55,0,176.061,1
2007,219,2.440121603,5.2,0.96,0.97,31244,0.9,62.65,1,70.1,0,176.058,1
2007,220,1.271841607,1.5,0,0.96,3089,0.12,58.15,0.75,70.45,4,176.17,1
2007,221,1.646403726,1.9,0,0,2845,1.5,67.3,0,67.95,0,176.007,1
2007,222,1.276461804,0.9,0.16,0.16,2593,0.09,69.05,0,69.35,0,176.079,1
2007,223,0.301029996,0.5,0,0.16,896,0.06,72.65,0,68.5,0,176.038,0
2007,225,3.238773502,12,0,0.28,812,0.06,68.6,2,68.75,5,176.093,0
2007,226,1.709269961,1.8,0.18,0.18,3310,2.38,70.2,2,65.6,0,176.091,0
2007,227,0.799340549,1.4,0.22,0.4,4838,0.13,63.55,0,66,0,175.987,0
2007,228,1.303196057,0.8,0.01,0.23,1040,0.08,66.7,0,67.3,3,176.125,0
2007,229,0.716003344,0.9,0,0.01,658,0.07,68.3,0,60.2,0,175.966,0
2007,230,2.25163822,11.9,0,0,233,0.04,66,2,62.9,3,176.004,0
2007,231,2.638688887,9.4,1.89,1.89,100103,8.81,66,6,60.85,3,176.058,0
2007,232,3.383671774,48.8,2.19,4.08,202031,94.62,66.8,5,64.65,4,176.145,0
2007,233,3.080373917,50.4,0.13,2.32,265350,10.7,66.3,2.5,63.2,4,176.103,0
2007,234,3.298044843,17,0.45,0.58,102405,16.52,67.6,0.75,66.25,0,175.984,0
2007,235,3.19119942,31.7,1.15,1.6,272726,16.31,67.5,1,68.35,0,175.981,0
2007,236,3.019614716,25,0.68,1.83,195935,21.18,67.7,1,69.7,0,176.062,0
2007,237,2.700011062,9.5,0.13,0.81,106296,6.7,68.4,1.25,62.2,0,176.072,0
2007,238,1.651278014,2.3,0,0.13,38724,2.14,67.8,0,59.1,0,176.032,0
2007,239,1.418301291,1.4,0,0,19591,1.47,68.4,1.5,62.7,0,176.071,0
2007,240,1.385606274,4.9,0.08,0.08,16721,1.2,66.55,1.5,70.25,4,175.981,0
2007,241,0.799340549,3.3,0,0.08,12343,1.25,67.6,0,69.8,0,175.985,0
2007,242,1.957128198,11.4,0.12,0.12,13175,0.9,66.7,1.5,59.5,4,176.041,0
2007,243,0.86332286,1.1,0,0.12,9182,0.71,68.2,0,57.65,0,176,0
2007,244,0.86923172,1.1,0,0,8215,0.59,68.45,0,61.25,0,176.024,0
2007,245,0.612783857,1.2,0,0,5190,0.52,68.05,0.5,62.95,0,176.002,0
2007,246,0.716003344,1.8,0,0,1281,0.31,65.85,0,65.85,0,175.975,0
2008,156,2.105169428,6.53,0.07,0.19,4277,0.39,52.45,0,54.65,4,176.159,0
2008,157,3.238773502,552,1.55,1.62,106344,15.41,52.4,0.5,60.35,4,176.228,0
2008,158,2.638688887,20.6,0.4,1.95,41455,2.39,53.25,1,71,2,176.175,0
2008,159,2.144885418,3.21,0.02,0.42,19485,2.04,53.15,1,67.05,10,176.113,0
2008,160,2.836767047,27.5,2.19,2.21,258437,22.67,50.3,2,65,0,176.149,0
2008,161,3.150326536,72.2,2.27,4.46,602012,27.79,50,2,66.7,2,176.094,0
2008,162,3.383671774,263,0.28,2.55,173749,23.81,55.75,0,66.95,2,176.246,0
2008,163,2.028164419,18.4,0,0.28,88436,4.09,50.15,1,57,7,176.262,0
2008,164,1.716003344,12.8,0,0,31181,2.41,52.4,2,60.35,6,176.362,0
2008,166,3.383671774,24.9,0,3.1,155612,8.31,60.3,0.5,69.1,1,176.201,0
2008,167,1.750508395,7.03,0.1,0.1,53114,3.67,52.45,0,69.2,1,176.239,0
2008,168,1.243038049,6.05,0,0.1,25460,2.34,52.7,0,59.75,2,176.185,0
2008,169,0.86332286,1.53,0,0,22586,1.55,53.6,0,61.95,2,176.143,0
2008,170,0,1.94,0,0,17037,1.53,51.9,0,61.95,1,176.222,0
2008,171,0,1.8,0,0,15650,1.45,52.95,0,63.45,0,176.218,0
2008,172,0.86923172,4.54,0,0,14805,1.36,53.75,0,64.35,0,176.192,0
2008,173,0.301029996,1.54,0.42,0.42,18556,1.53,52.9,0,66.4,0,176.236,0
2008,174,0.716003344,2.13,0,0.42,10728,0.77,53.4,0,66.15,1,176.212,0
2008,175,0.716003344,2.53,0.32,0.32,11230,0.62,52.7,0,61.25,4,176.278,0
2008,176,0.602059991,1.35,0,0.32,7172,0.61,54.5,0,69.2,0,176.219,0
2008,177,1.356025857,6.74,0,0,5859,0.63,53.35,1.5,64.75,2,176.254,0
2008,178,1.243038049,8.44,0,0,6062,0.48,54.85,0.5,76.55,2,176.196,0
2008,179,0.86923172,4.32,0,0,4328,0.39,54.35,0,73.5,1,176.252,0
2008,180,1.769377326,4.29,0.02,0.02,5529,0.41,53.2,1,69.9,2,176.299,0
2008,181,1.6599162,2.05,0.16,0.18,7798,0.41,50.95,0.5,66.05,0,176.242,0
2008,182,0.799340549,2.3,0,0.16,3997,0.35,54.1,0.5,63.25,1,176.209,0
2008,183,0.301029996,2.47,0,0,3351,0.27,53.35,0.5,70.35,1,176.163,0
2008,184,1.130333768,4.9,0,0,2878,0.3,53.7,1,70.25,2,176.202,0
2008,185,1.745074792,9.73,0.21,0.21,4708,0.29,51.7,1,61.9,3,176.259,0
2008,186,2.252610341,8.43,0,0.21,2621,0.22,51.4,0.5,56.2,1,176.248,0
2008,187,1.127104798,4.14,0,0,2411,0.22,54.1,0,63.55,0,176.203,0
2008,188,0.959041392,4.12,0,0,2048,0.22,54.25,0.5,70.4,1,176.252,0
2008,189,1.318063335,4.62,0,0,2817,16.21,51.4,0.5,73.3,0,176.244,0
2008,190,1.709269961,11.3,1.41,1.41,58611,0.79,52.6,0,71.55,1,176.264,0
2008,191,0.77815125,1.67,0,1.41,5540,0.32,51.3,0,66.85,1,176.212,0
2008,192,0,1.22,0,0,2943,0.27,55,0.5,73.1,0,176.221,0
2008,193,1.839478047,13.1,1.3,1.3,55375,2.12,52,0.5,64.85,2,176.277,0
2008,194,2.462397998,29.4,0.62,1.92,38347,5.78,52,2,66.75,0,176.408,0
2008,195,2.310905629,8.57,0,0.62,23568,1.39,51.5,0.5,66.3,2,176.148,0
2008,196,0,2.13,0,0,9589,0.75,50.25,0,64.65,0,176.204,0
2008,197,1.465382851,3.95,0,0,6251,0.53,53.25,0.5,70.8,3,176.219,0
2008,198,1.561101384,4.85,0,0,4018,0.39,49.5,1,77.4,0,176.218,1
2008,199,1.584331224,6.85,0.32,0.32,16293,0.52,51.35,0.5,77.8,0,176.293,1
2008,200,0.982271233,5.32,0,0.32,3935,0.35,50.05,1.5,72.05,0,176.249,1
2008,201,2.638688887,118,0,0,18863,37.33,50.5,0,69.55,0,176.245,1
2008,202,2.41713941,10.3,0.99,0.99,50389,1.65,52.3,0,63.45,2,176.259,1
2008,203,1.193124598,3.95,0.01,1,12334,1.33,53.55,1,64.3,1,176.273,1
2008,204,1.653212514,3.95,0,0.01,9030,0.7,57.5,1,66.35,4,176.254,1
2008,205,0,2.29,0,0,7098,0.61,,1,66,3,176.285,1
2008,206,0.991226076,4.68,0,0,5611,0.48,61.65,0,72,0,176.258,1
2008,207,1.164352856,2.75,0,0,3680,0.35,64.1,1,68.85,1,176.258,1
2008,208,1.037426498,2.81,0,0,3667,0.36,63.25,0,70.65,1,176.281,1
2008,209,0.982271233,1.52,0,0,3068,0.27,60.5,0,69.9,1,176.236,1
2008,210,1.164352856,1.18,0,0,2317,0.25,62.5,1,69.15,2,176.267,1
2008,211,0,0.63,0,0,2007,0.11,67.5,0.5,67.9,0,176.324,1
2008,212,1.037426498,2.97,0,0,1758,0.21,66.55,0,72.5,0,176.313,1
2008,213,0.477121255,1.18,0,0,1490,0.14,68.25,0,72.8,0,176.218,1
2008,214,0.698970004,2.15,0,0,1175,0.12,68,0,74.55,0,176.297,1
2008,215,3.113909944,25.8,0.98,0.98,41749,0.62,69.45,1,65,1,176.288,1
2008,216,1.588831726,2.97,0,0.98,7830,0.59,69.6,0,66.3,0,176.253,1
2008,217,2.663795122,39.3,0.61,0.61,20944,1.87,67,0.5,70.1,0,176.308,1
2008,218,2.074450719,9.89,0.1,0.71,8802,0.43,72,0,70.95,0,176.279,1
2008,219,0.86332286,3.03,0,0.1,4464,0.27,71.4,0,70.4,0,176.224,1
2008,220,1.079181246,1.25,0,0,3255,0.19,68.2,0.5,66.05,3,176.282,1
2008,221,2.536053155,7.55,0,0,2541,0.19,69.65,2,66,0,176.263,1
2008,222,1.206825876,5.12,0,0,2121,0.17,72,0,72,5.1,176.257,1
2008,223,2.348304863,9.28,0,0,4327,0.58,66,2,60.8,3,176.306,1
2008,224,1.887054378,18.8,0,0,8425,0.86,68.15,0,60.1,0,176.337,0
2008,225,1.969881644,2.36,0,0,2221,0.13,71.6,0,66.25,0,176.295,0
2008,226,2.454997217,2.71,0.27,0.27,3563,0.73,69.4,0,61.75,0,176.303,0
2008,227,2.738384124,10.8,0.44,0.71,10686,0.3,69.85,1,65.5,3,176.315,0
2008,228,2.638688887,19.2,0.01,0.45,1439,0.08,70.55,1.5,66.9,2,176.303,0
2008,229,2.176091259,2.59,0,0.01,874,0,69.3,0,64.95,1,176.235,0
2008,230,2.118264726,3.44,0,0,63,0,69,0,67.5,1,176.243,0
2008,231,2.960898677,38.9,0,0,4,0,68,0,71.55,1,176.226,0
2008,232,3.048872776,53.9,0,0,3,0,67.5,2.5,62.65,2,176.309,0
2008,233,2.463743721,35.1,0,0,0,0,69.2,3,67.85,4,176.312,0
2008,234,2.304059466,17.8,0,0,0,0,69,1.5,69.15,4,176.288,0
2008,235,1.829946696,12.1,0.01,0.01,3312,0.42,66,1,72.65,1,176.307,0
2008,236,1.834420704,10.4,0,0.01,2717,0.32,66,1,74.5,2,176.223,0
2008,237,1.204119983,6.1,0,0,0,0,66,0.5,61.5,4,176.237,0
2008,238,1.130333768,6.3,0,0,0,0,70,1,60.1,4,176.251,0
2008,239,1.584331224,35.8,0,0,0,0,68.15,3,64.25,1,176.289,0
2008,240,1.6599162,64.4,0,0,1,0,70.3,3,66.5,0,176.264,0
2008,241,1.276461804,18.1,0,0,0,0,70.4,0.75,66.25,0,176.242,0
2008,242,0.716003344,3.29,0,0,0,0,71,0,75.65,3,176.218,0
2008,243,0.799340549,2.45,0,0,0,0,69.6,0,68.8,3,176.191,0
2008,244,0.612783857,2.89,0,0,0,0,70.65,0,72,1,176.207,0
2009,181,0.86923172,1.86,0.22,0.22,4226,0.1,56,0,65.5,5,176.509,0
2009,182,1.271841607,3.39,0.01,0.23,1793,0.18,53.55,0,61.5,5,176.48,0
2009,183,1.460897843,2.19,0,0.01,1303,0.14,55.1,0,63.75,2,176.472,0
2009,187,0.716003344,0.78,0,0,0,0.02,61.1,0,78.2,3,176.464,0
2009,188,0.301029996,1.68,0,0,121,0,61.4,0,73.15,2,176.455,0
2009,189,1.338456494,2.8,0,0,2,0,60.75,1.5,63.25,9,176.472,0
2009,190,1.324282455,2.31,0,0,22,0,62.75,0,68,6,176.513,0
2009,194,1.086359831,0.95,0,0,181,0,63.65,0,76.2,2,176.461,0
2009,195,1.303196057,1.02,0,0,2,0,63.6,0,66.1,2,176.476,0
2009,196,1.532754379,10.4,0.03,0.03,7,0,62,2.5,67.4,0,176.441,0
2009,197,0.301029996,2.71,0,0.03,172,0,57.5,0,70.35,5,176.46,1
2009,201,0.716003344,1.42,0,0.14,36,0,61.4,0,68.35,3,176.442,1
2009,202,1.537819095,1.99,0,0,1,0,61.1,1,73.7,4,176.471,1
2009,203,1.812913357,6.56,0,0,255,0.59,60.9,1.5,63,3,176.46,1
2009,204,1.750508395,3.24,0.37,0.37,7561,0.14,64.65,0,75.05,1,176.468,1
2009,208,1.561101384,4.83,0.89,0.92,22745,0.16,59.6,0,70.05,2,176.447,1
2009,209,2.166430114,4.45,0.12,1.01,3776,0.15,58.35,1.5,73.45,4,176.441,1
2009,210,0,1.12,0,0.12,930,0.11,60.1,0,,0,176.442,1
2009,211,0.612783857,2.07,0,0,250,0,58.05,0,70.9,1,176.423,1
2009,215,1.515873844,13.1,0.12,0.14,1073,0.42,47.3,2.5,70.8,0,176.4,1
2009,216,0.934498451,8.35,0,0.12,610,0,48.7,0,73.55,2,176.374,1
2009,217,0.301029996,3.54,0,0,7,0,52.45,0,69.5,0,176.408,1
2009,218,0.934498451,3.03,0,0,3,0,54.9,0,70.15,3,176.424,1
2009,222,0.986771734,7.44,0.17,0.83,2566,0.19,50.25,0,63.7,4,176.425,1
2009,223,0.301029996,1.7,0,0.17,899,0.12,50.5,0,71.7,6,176.437,0
2009,224,1.041392685,5.82,0,0,132,0,56.55,0,65.7,2,176.485,0
2009,225,0.86923172,1.84,0,0,2,0,54.95,0,66.95,3,176.443,0
2009,229,1.59439255,6.88,0.01,0.01,65,0,46.7,1,64,0,176.464,0
2009,230,0.612783857,4.6,0.07,0.08,659,0,49.55,0,71.45,7,176.438,0
2009,231,0.491361694,1.6,0,0.07,9,0,48.45,0,64.05,1,176.396,0
2009,232,1.899820502,29.9,0.23,0.23,4140,8.99,47.2,2,60.95,5,176.542,0
2009,236,0.991226076,4.2,0,0,14,0,54.25,0,70.4,6,176.443,0
2009,237,1.08278537,2.02,0,0,1,0,53.05,1.5,64.65,5,176.391,0
2009,238,0.991226076,4.15,0.82,0.82,22335,0.19,57.4,1,64.75,10,176.459,0
2009,239,1.525044807,5.37,0,0.82,1815,0.16,59.15,1,64.25,5,176.468,0
2009,243,1.982271233,12.4,0,0.05,371,0,60.75,0,62.2,1,176.473,0
2009,244,0.929418926,2.56,0,0,3,0,61.75,0,63.7,7,176.471,0
2009,245,0.86923172,1.18,0,0,5,0,62.4,0,67.4,0,176.467,0
2009,246,0.986771734,2.07,0,0,2,0,63.25,0,65.9,2,176.449,0
2010,159,0.77815125,1.4,0,0.27,2141,0,57,0,56.3,na,na,0
2010,160,1.041392685,18.9,0.78,0.78,32742,2,59.3,2,71.5,na,na,0
2010,161,0.602059991,1.7,0,0.78,6646,0,58.2,0,72.8,na,na,0
2010,162,0.301029996,5.5,0.01,0.01,3775,0.5,58.6,0.5,60.1,na,na,0
2010,166,1.62324929,5.3,0,0.03,2831,0,62.1,0,65.6,na,na,0
2010,167,1.146128036,6.3,0.49,0.49,22740,0,62.7,0,72.3,na,na,0
2010,168,0.698970004,2.7,0,0.49,3454,0,62,0,72.2,na,na,0
2010,169,2.629409599,7.5,0.14,0.14,4790,1.25,62.8,1.3,74.6,na,na,0
2010,170,0.77815125,4,0,0.14,2712,1,62.7,1,74.3,na,na,0
2010,173,1.322219295,3.2,0.11,0.11,2448,0.5,67.8,0.5,77.6,na,na,0
2010,174,1.041392685,1.1,0.16,0.27,3469,0.33,65.4,0.3,74,na,na,0
2010,175,0.698970004,2,0,0.16,2295,0.75,64.1,0.8,77.9,na,na,0
2010,176,0.301029996,1.8,0,0,1764,0.5,66.6,0.5,77.1,na,na,0
2010,180,1.113943352,2.5,0,1.27,16695,1,63.7,1,67,na,na,0
2010,181,0.77815125,3.5,0,0,7160,0.75,61.3,0.8,67.7,na,na,0
2010,182,0.77815125,1.9,0,0,5882,0,63.3,0,71.5,na,na,0
2010,183,1.255272505,1.7,0,0,5611,0.5,63.5,0.5,71.7,na,na,0
2010,187,1.204119983,2.1,0,0,17570,1,50.8,1,71.6,na,na,0
2010,188,0.301029996,1.4,0,0,2900,0,53.9,0,75.9,na,na,0
2010,189,0,1.2,0.14,0.14,2944,0,51.8,0,71.8,na,na,0
2010,190,0.301029996,1.4,0,0.14,2046,0,61,0,80.4,na,na,0
2010,194,1.361727836,2.1,0.06,0.56,2246,0.5,63.5,0.5,73.8,na,na,0
2010,195,1.380211242,1.1,0,0.06,1571,0.33,63.7,0.3,86,na,na,0
2010,196,3.383635868,210,3,3,160146,1,65.4,1,75.8,na,na,0
2010,197,2.103803721,9.2,0,3,133402,0,61,0,77.4,na,na,1
2010,201,1.698970004,4.2,0.01,0.04,87037,1.25,61.9,1.3,73.5,na,na,1
2010,202,1.770852012,3.4,0,0.01,92080,0,68.6,0,81.2,na,na,1
2010,203,0.602059991,0.5,0,0,95580,0,65.8,0,73.1,na,na,1
2010,204,1.86332286,20.9,1.77,1.77,145641,1,57.2,1,75.8,na,na,1
2010,208,1.414973348,2.2,0,0,17834,0.625,69,0.6,79,na,na,1
2010,209,1.146128036,5.1,0.01,0.01,19172,0.5,65.4,0.5,76.6,na,na,1
2010,210,1.397940009,8,0.01,0.02,10944,1,65,1,75.5,na,na,1
2010,211,1.505149978,1.7,0,0.01,4802,0,65.8,0,71.4,na,na,1
2010,215,1.447158031,1.9,0,0,2944,0.33,62.2,0.3,71.1,na,na,1
2010,216,0.903089987,1.5,0,0,2830,0,62.7,0,76.1,na,na,1
2010,217,1.361727836,2.4,0,0,2596,0,65.1,0,73.2,na,na,1
2010,218,1.579783597,0.9,0,0,2115,0,58.5,0,69.1,na,na,1
2010,222,0.301029996,2.1,0,0.73,2615,0,69.6,0,72.2,na,na,1
2010,223,3.089905111,60.2,0.69,0.69,20107,0.33,66.4,0.3,74.6,na,na,0
2010,224,2.06069784,2.1,0,0.69,7454,0,71,0,77.3,na,na,0
2010,225,1.556302501,2.4,0,0,3331,0.33,69.5,0.3,75.7,na,na,0
2010,229,1.079181246,1.5,0,0,1142,0,60.1,0,68.1,na,na,0
2010,230,1.113943352,0.9,0,0,1278,0,62,0,68.1,na,na,0
2010,231,1.278753601,1.5,0,0,1456,0.75,62.5,0.8,70.8,na,na,0
2010,232,1.69019608,2.4,0.02,0.02,1393,1,65.4,1,75.4,na,na,0
2010,236,1.785329835,2.2,0,0,1483,1.25,71.1,1.3,74.1,na,na,0
2010,238,0.77815125,0.9,0,0,280,0.33,67.5,0.3,69.4,na,na,0
2010,239,1.531478917,1.6,0,0,0,1,68.7,1,68,na,na,0
2010,245,0.903089987,1.6,0,1,4980,0.25,57,0.3,67.8,na,na,0
2010,246,0.903089987,2.1,1,1,22667,0.25,53.5,0.3,62.4,na,na,0
2010,247,0,1.3,0,0.68,2665,1,48,1,55.1,na,na,0
2010,248,1.255272505,2.6,0,0,2053,0.33,49.1,0.3,57.6,na,na,0
